pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index,strategies
656,1,52,13,3,3,,3,3,12000,10000,21000,9,1,9,6,9,2,0,2,1,4,4,10,9,10,4,9,,3,5,3,8,4,1,5,3,,1,1,2,2,2,2,3,3,4,5,5,1,3,4,2,2,3,3,2,4,2,2,1,2,2,3,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,8,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,1,1,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,2,3.5,[2]
666,1,18,6,1,2,,2,3,,,,,,,8,3,3,2,3,8,4,1,5,3,10,4,3,,3,2,3,0,3,3,3,5,2,1,1,3,3,5,1,1,3,5,3,3,2,3,2,3,3,3,2,1,4,4,2,2,2,2,3,3,3,3,3,8,8,8,8,8,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,8,8,8,4,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,5,[2]
668,1,71,13,1,2,,1,1,10000,21000,13000,1,1,1,4,1,2,9,1,0,0,5,0,1,8,4,1,,5,5,2,1,4,3,1,3,3,1,1,2,3,1,1,5,4,3,4,5,3,4,1,3,1,4,1,3,4,5,1,1,1,4,1,4,4,2,1,7,7,9,,9,4,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8,9,9,1,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,,,,3,[1 2 3]
669,1,42,7,1,4,,2,1,10000,13000,13000,9,6,1,5,,,8,0,0,0,0,10,1,10,4,9,,7,5,2,0,3,4,1,4,5,5,1,1,1,4,1,1,1,4,5,5,2,5,2,3,2,5,1,5,5,4,1,2,2,1,1,1,3,2,1,7,5,8,8,8,8,8,8,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,7,8,9,8,8,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,1,4,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,2,2,5,[]
673,2,21,9,3,4,,3,3,13000,22000,11000,12,3,12,5,,,0,0,0,0,0,0,3,10,4,12,,7,4,2,0,1,1,2,4,3,1,3,3,2,3,1,2,1,4,5,5,4,5,1,3,2,4,2,4,5,5,1,1,1,1,4,1,1,2,4,3,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,2,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4.5,[3]
675,2,58,10,2,1,,2,2,21000,21000,10000,6,6,,4,,,4,4,0,0,8,,6,10,4,,,6,5,1,5,3,3,2,4,4,1,3,1,1,2,2,4,1,4,5,3,5,2,1,4,3,2,1,3,4,4,2,2,2,3,4,1,3,2,2,5,2,8,8,8,8,8,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,8,8,8,8,8,7,8,9,0,0,0,0,0,0,0,0,1,0,0,0,5,4,1,5,5,2,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,2,2,3,[1 3]
676,1,29,9,1,2,,1,1,11000,11000,21000,12,2,2,5,,,7,7,1,1,6,1,2,10,4,,,7,6,1,7,4,4,4,5,4,1,2,2,2,2,2,5,3,4,3,3,4,3,2,4,4,5,2,3,4,2,2,2,2,3,3,3,1,2,2,2,9,9,8,8,8,8,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,8,1,8,8,8,7,1,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,2,3,5,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,2.5,[3]
679,2,49,4,3,4,,4,3,,99999,,,12,,10,,,0,0,0,10,0,2,1,7,4,,,2,2,3,8,1,2,1,1,5,1,1,5,1,3,1,1,1,5,5,1,2,1,5,1,5,1,1,1,1,1,2,3,3,4,4,1,1,4,4,7,8,7,2,8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,8,8,1,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,[5]
685,1,38,7,2,2,,2,2,10000,10000,,1,1,,3,1,2,7,3,0,3,2,0,1,10,4,1,,5,5,3,0,2,1,3,1,1,2,1,4,2,2,3,4,3,3,4,1,1,2,2,4,4,3,2,2,4,,3,2,1,1,3,3,3,3,2,4,2,1,8,9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,5,1,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,4,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2.5,[1 2 3]
690,1,81,7,1,2,,3,1,21000,13000,,12,8,,4,1,3,6,6,5,1,4,1,8,4,4,,12,5,6,1,3,2,2,3,4,2,2,2,4,2,3,4,3,3,2,4,4,2,2,3,2,4,4,1,2,4,2,5,3,4,4,4,3,3,3,1,5,9,2,9,9,4,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,9,9,6,2,8,0,0,1,0,0,0,0,0,0,0,0,0,5,4,4,4,5,1,1,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,2.5,[3]
695,2,43,4,3,3,,3,3,11000,10000,,,1,,5,,,7,2,5,5,2,,1,10,4,3,,2,1,2,2,3,2,2,1,2,2,1,4,2,5,1,1,2,3,4,4,1,2,2,1,3,3,2,4,2,2,2,4,4,4,4,2,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,[3 5]
696,2,43,8,3,2,,2,3,11000,11000,,,3,,5,,,5,5,6,3,8,,9,10,4,,,2,2,3,3,4,3,2,2,4,1,2,2,2,5,2,3,3,4,3,2,3,4,2,2,4,5,2,3,4,3,2,4,4,4,4,3,3,3,4,8,8,8,8,8,9,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,8,8,8,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,5,4,5,5,5,2,1,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,3.5,[]
702,2,38,13,4,2,,3,3,22000,11000,10000,6,6,1,2,6,2,6,2,0,0,10,0,6,10,4,6,,7,4,1,5,4,2,1,5,,1,3,2,3,1,5,5,3,4,5,5,1,2,3,3,3,3,2,4,4,3,2,3,2,2,4,3,2,2,2,3,8,3,8,9,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,5,5,2,5,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,[1 2 3]
705,1,38,13,1,1,,2,3,10000,10000,17000,2,2,9,6,2,3,4,9,6,7,5,8,5,9,4,9,,6,6,1,4,4,2,3,5,4,3,2,4,3,3,1,4,2,4,3,3,4,4,2,2,3,5,1,2,5,2,3,3,2,3,4,2,3,3,2,1,5,9,8,8,1,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,8,8,1,8,8,9,1,9,0,0,0,0,0,0,1,0,1,0,0,0,5,5,5,5,5,2,2,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,,,,3.5,[]
708,2,88,7,1,2,,3,1,11000,12000,11000,1,2,1,4,1,3,6,4,2,2,2,0,2,10,4,1,,3,5,2,3,3,,2,4,4,2,3,2,2,3,3,2,3,4,3,4,3,2,2,4,3,4,1,2,3,2,3,2,2,2,2,3,3,2,1,9,5,3,8,8,9,8,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,8,8,8,8,9,9,9,0,0,0,0,0,0,0,0,0,1,0,0,5,1,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[3]
720,1,62,4,3,2,,4,3,11000,11000,,12,2,,5,,,5,1,7,3,4,2,9,2,4,,,2,4,2,2,4,2,3,2,,3,2,,3,,2,1,4,4,2,3,1,3,2,2,4,3,3,3,3,2,4,4,4,4,4,4,4,3,2,8,3,3,8,8,8,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,2,5,5,5,5,2,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,4.5,[]
723,1,60,13,4,1,,1,1,11000,11000,11000,6,6,6,4,6,3,6,1,0,0,10,0,6,10,4,6,,7,6,1,10,5,1,1,1,1,1,5,1,1,1,5,5,,2,5,5,5,3,3,3,3,5,1,1,5,5,3,1,1,2,2,,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,8,8,8,7,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,1,5,5,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,1,1,2,1,[2 1 3]
727,1,25,7,5,4,,3,3,,,,,,,5,2,3,5,7,1,0,5,,8,10,4,2,,3,1,3,5,3,2,1,3,2,1,1,4,1,4,1,3,1,3,4,3,3,2,3,2,2,1,4,3,4,4,3,3,3,4,4,1,1,3,4,2,8,8,8,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,8,1,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,2,1,4,[5]
730,1,26,7,2,2,,3,2,10000,20000,20000,1,6,6,4,,,6,5,2,2,7,,6,9,4,6,,4,4,1,5,3,2,2,3,4,2,3,2,2,2,4,5,3,2,4,4,4,4,2,2,4,4,2,2,4,3,2,3,2,2,3,3,2,3,3,2,2,3,2,9,1,2,9,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,4,1,9,9,8,9,8,8,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,5,4,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,2,1.5,[1 3]
732,1,55,7,2,2,,1,1,10000,11000,17000,9,1,,5,,,2,2,9,0,7,9,1,10,4,,,6,6,3,7,1,1,1,1,5,2,1,1,3,5,1,1,2,5,4,1,1,4,1,4,3,4,1,2,3,2,2,3,3,2,4,2,2,2,1,7,2,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,1,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,2,2,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,,,,5,[3]
735,1,32,9,2,2,,2,1,11000,11000,12000,12,12,12,5,,,0,0,2,0,0,1,5,10,4,12,,3,3,3,0,2,2,2,5,3,5,3,1,3,3,1,5,2,5,5,5,1,5,1,3,3,3,1,1,5,1,1,2,3,2,2,2,2,2,1,4,4,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,8,8,8,8,7,0,0,0,0,1,0,0,0,0,0,0,0,5,4,3,5,5,4,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,3,[]
751,2,78,13,5,2,,2,2,11000,10000,10000,11,1,1,5,1,3,7,3,0,0,3,4,2,10,5,1,,6,6,2,2,5,1,2,3,3,2,,1,2,4,3,2,,5,5,5,5,3,3,3,4,3,2,2,4,3,3,2,3,,4,,,3,1,5,9,7,7,9,8,8,8,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,8,8,7,9,8,9,3,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,3,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[]
753,1,57,7,5,2,,3,3,11000,11000,11000,1,1,,6,,,6,4,5,2,1,,1,8,4,1,,4,4,2,1,4,1,3,4,3,,2,2,2,4,2,1,,5,5,4,3,2,4,3,5,4,1,4,2,2,4,,3,2,3,,,2,2,2,2,3,4,2,9,1,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,9,8,5,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,5,5,5,4,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,4.5,[1 3]
755,2,43,8,1,2,,3,3,10000,11000,11000,2,1,1,5,2,2,4,8,3,1,0,,2,10,4,2,,6,5,3,4,3,3,3,3,4,2,2,3,2,4,2,2,3,5,3,4,3,3,2,3,4,4,2,4,4,2,4,2,3,3,2,3,3,3,4,4,1,9,9,8,8,8,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,1,8,8,7,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,[1 2]
761,2,60,10,5,2,,2,1,20000,20000,10000,6,6,1,3,6,2,2,1,0,0,5,,6,9,4,6,,5,4,1,7,5,3,1,3,4,1,3,,1,1,5,5,1,4,3,4,3,3,2,2,3,3,1,3,4,5,3,3,2,2,4,1,1,1,1,5,5,8,5,8,8,8,8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,8,9,8,8,9,9,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,[1 2 3]
762,1,85,7,3,2,,3,3,,11000,,,1,,5,1,3,9,1,1,0,2,2,1,10,4,1,,3,3,2,3,3,2,3,2,4,3,3,4,3,4,1,1,3,5,3,3,2,1,2,1,5,5,1,2,5,2,2,3,4,,4,3,4,3,4,9,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,5,[2 3 5]
765,2,72,8,5,2,,1,2,11000,20000,20000,12,6,6,3,6,3,7,1,5,5,10,2,6,9,4,6,,6,6,2,0,3,3,2,2,4,1,1,4,1,2,4,3,2,3,3,3,2,4,2,1,4,5,1,2,4,4,2,2,2,,3,2,2,3,1,7,3,3,8,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,2,3,3,8,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,5,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,[2 1 3]
770,1,43,13,2,2,,2,1,13000,,21000,2,,1,2,1,2,0,4,5,0,0,1,1,10,4,3,,5,6,3,0,3,3,3,5,3,,3,5,1,3,1,1,3,3,3,5,5,1,4,3,1,5,2,3,4,5,1,3,4,4,4,3,1,4,1,8,8,7,7,8,8,8,8,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,8,8,5,3,4,9,9,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,[2]
771,2,31,8,2,4,,3,2,13000,11000,10000,,1,,5,,,,0,0,0,5,,1,10,4,,,2,3,3,0,3,1,3,5,3,3,1,5,1,5,1,2,2,5,5,5,1,4,1,1,4,5,2,2,4,5,1,4,4,4,4,2,2,3,1,9,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,9,9,4,8,9,9,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,2,4.5,[3]
773,2,55,9,4,2,,2,2,13000,11000,11000,2,8,1,5,,,9,9,0,1,10,5,8,10,4,,,6,6,1,5,3,1,1,5,3,2,1,1,1,1,5,5,2,1,4,3,2,4,1,1,4,5,1,1,4,5,1,2,1,1,2,2,3,2,2,2,4,2,2,4,8,8,8,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,5,1,6,8,2,1,8,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,3,3,2,4,4,4,4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,2,2,1,[3]
780,2,46,6,4,3,,3,3,10000,13000,11000,3,12,3,5,,,0,3,5,0,0,,3,10,4,3,,4,3,2,2,3,2,1,1,5,1,3,5,2,3,1,1,,5,4,5,2,4,3,2,3,5,1,3,4,3,1,4,4,4,4,,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,8,5,8,3,3,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,2,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,5,[5]
785,1,74,7,5,1,,1,1,14000,11000,17000,1,1,1,2,1,2,10,7,1,4,7,0,1,10,4,1,,7,4,1,7,4,4,2,2,3,2,1,5,1,3,2,3,2,3,2,2,1,5,1,1,4,5,1,1,5,5,3,1,1,2,3,2,2,2,1,6,7,8,8,6,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,3,7,3,8,8,8,6,0,0,0,0,0,0,0,0,0,1,0,0,5,1,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[2 3]
789,2,48,7,2,2,,3,2,10000,11000,11000,2,1,2,7,2,3,5,10,0,0,5,0,1,10,4,2,,5,5,3,5,2,3,1,1,2,1,1,2,1,3,4,3,2,2,3,4,3,4,2,2,3,4,1,2,4,5,1,2,2,2,3,2,3,2,3,5,5,3,9,9,9,8,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,5,1,8,8,8,9,8,8,0,0,1,0,0,0,0,0,0,0,0,0,4,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,[3]
791,1,51,7,5,2,,3,2,10000,10000,11000,9,1,1,4,1,3,8,3,1,1,1,8,1,10,4,9,,6,6,2,1,5,2,3,3,3,3,3,4,2,4,2,2,,5,2,5,,2,3,4,4,4,1,3,4,2,4,3,3,3,3,,,3,1,2,1,6,2,9,8,8,8,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,4,8,8,8,8,8,3,9,1,0,0,0,0,0,0,1,0,0,0,0,5,4,2,4,5,3,5,5,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,,,,4,[2 1 3]
802,2,30,7,2,2,,4,3,22000,22000,,3,3,,6,3,2,0,0,9,3,0,,3,8,4,4,,4,2,2,0,3,3,3,4,5,1,2,5,4,5,1,1,3,4,4,3,2,3,2,4,4,4,2,2,5,3,2,3,3,,4,3,3,3,4,9,9,4,9,9,9,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,8,2,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,[2 3 5]
803,1,54,7,3,,,2,2,,12000,,,1,,,,,0,5,5,0,5,5,9,10,4,9,,0,5,3,9,2,3,5,3,5,4,3,5,3,4,1,1,1,5,1,3,5,2,3,1,4,3,3,2,4,5,1,1,1,1,1,1,2,1,1,8,4,9,9,3,9,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8,0,0,1,0,0,0,0,0,1,0,0,0,5,4,4,4,5,2,5,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,2,1,2,5,[]
805,2,50,7,1,2,,3,3,,11000,,,3,,5,,,4,2,0,0,5,0,3,10,4,6,,4,3,1,3,3,4,3,3,3,1,,2,1,2,1,2,,3,4,5,2,2,2,3,3,3,1,2,4,3,3,2,3,4,4,,2,2,1,7,8,7,8,8,7,8,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,1,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,[3 5]
807,1,42,8,1,2,7,2,2,11000,11000,,1,6,,2,,,5,5,0,0,8,0,6,10,4,,,4,3,1,6,5,5,4,3,,1,2,2,1,1,3,5,4,3,4,5,3,3,4,3,3,5,2,3,3,2,3,1,1,4,4,4,4,4,1,7,4,3,3,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,8,4,8,7,7,7,2,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,[3]
809,1,20,8,1,2,,1,2,22000,10000,17000,10,8,10,,,,0,0,0,0,0,7,8,10,4,12,,5,2,2,0,3,2,3,5,2,1,1,3,2,2,1,4,1,2,5,5,5,5,1,5,2,5,2,2,5,5,1,2,2,3,4,1,1,2,3,3,3,4,1,1,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,2,8,7,5,2,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,5,5,3,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,1,2,3.5,[3]
816,1,37,10,4,2,10,1,2,21000,13000,14000,2,2,2,7,,,4,8,0,1,6,0,2,6,4,2,,6,5,3,6,1,3,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,3,6,4,8,8,8,8,8,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,[3 4]
819,2,44,7,4,2,8,2,2,10000,21000,,1,3,,4,,,3,3,0,1,1,3,3,3,4,,1,3,5,1,4,2,2,1,1,1,1,2,1,4,1,1,1,3,1,2,3,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,3,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,5,[3 4]
820,2,84,3,1,3,5,4,3,,21000,,,12,,,,,7,7,7,0,5,0,2,2,4,,,1,2,3,,,1,,4,4,5,3,,4,,3,2,,,5,5,5,2,1,2,5,5,2,2,5,2,3,2,4,4,3,,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[1 5]
822,1,60,4,4,2,8,2,2,11000,13000,10000,1,1,1,5,,,2,3,5,4,3,5,1,4,4,,1,5,5,1,6,2,1,2,3,2,1,1,1,2,2,1,2,,2,2,1,4,1,2,3,2,2,2,2,1,2,4,2,3,2,2,,,2,1,5,8,8,5,8,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,2,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4.5,[1 3]
825,1,59,7,1,1,,1,1,11000,13000,11000,12,2,12,10,,,2,7,8,2,2,5,2,10,4,,,5,5,3,10,1,1,1,5,,1,1,4,1,1,1,4,3,1,5,5,1,3,1,1,1,4,1,4,2,2,1,3,1,1,4,3,4,3,2,3,1,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,[3]
826,2,62,4,4,2,12,3,2,10000,13000,13000,1,2,2,5,,,2,2,3,5,3,6,2,4,4,,1,4,5,1,6,2,5,2,3,2,3,3,3,3,4,1,3,,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,[1 3]
