2203
idno,freehms,gincdif,lrscale,impcntr,euftf,group
2662,1,0.5,-0.19999999999999996,0.33333333333333337,1,6
2750,1,-0,-0.4,-0.33333333333333326,0,6
2775,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,5
2819,-0.5,-1,0,1,0.3999999999999999,2
2826,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,2
2827,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2
2830,-0,1,-0.19999999999999996,0.33333333333333337,0,5
2844,1,-0,0,0.33333333333333337,-0.8,5
2881,1,0.5,-0.4,-0.33333333333333326,0,6
3005,1,0.5,-0.6,1,0.8,1
3022,-0,1,0.3999999999999999,-0.33333333333333326,-0.6,3
3073,1,1,-1,1,1,5
3082,0.5,-0.5,0.3999999999999999,-0.33333333333333326,-0.19999999999999996,5
3093,1,-0.5,0.3999999999999999,-0.33333333333333326,-0.8,6
3128,1,-0.5,0.3999999999999999,-0.33333333333333326,0.8,3
3204,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,5
3250,1,0.5,0,-0.33333333333333326,-0.19999999999999996,2
3300,1,1,-0.19999999999999996,1,0.3999999999999999,4
3354,0.5,1,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,2
3361,1,1,0.8,-0.33333333333333326,0,5
3396,1,1,-0.19999999999999996,0.33333333333333337,1,2
3410,1,0.5,0,0.33333333333333337,0.3999999999999999,3
3421,1,0.5,-0.4,0.33333333333333337,0,2
3430,1,0.5,-0.4,0.33333333333333337,0.8,1
3436,-0,1,-0.6,-0.33333333333333326,-0.6,2
3455,1,0.5,0,0.33333333333333337,-0.19999999999999996,5
3459,1,0.5,0.3999999999999999,-0.33333333333333326,-0.4,3
3527,0.5,1,0,-0.33333333333333326,-0.19999999999999996,1
3564,1,1,-0.6,1,1,6
3576,0.5,0.5,-0.4,0.33333333333333337,1,5
3597,1,0.5,0.6000000000000001,-0.33333333333333326,-0.4,2
3663,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,3
3668,1,-0.5,-0.19999999999999996,1,1,1
3711,0.5,0.5,-0.8,-0.33333333333333326,0.6000000000000001,3
3759,1,0.5,0.19999999999999996,-0.33333333333333326,-0.6,6
3826,1,0.5,0,0.33333333333333337,0.8,4
3835,0.5,1,-0.19999999999999996,0.33333333333333337,0,3
3844,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.6,5
3846,0.5,1,-0.19999999999999996,-1,-0.19999999999999996,5
3879,0.5,1,-0.8,1,1,2
3970,1,-0.5,0,1,0.6000000000000001,1
4000,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,2
4015,1,1,0,-0.33333333333333326,0.19999999999999996,5
4074,1,-0.5,-0.4,0.33333333333333337,1,2
4177,1,0.5,0,0.33333333333333337,0,1
4179,0.5,1,0,-0.33333333333333326,0.6000000000000001,5
4185,-0,0.5,0,1,0.6000000000000001,3
4202,1,0.5,-0.4,0.33333333333333337,1,3
4203,1,0.5,0,0.33333333333333337,1,2
4207,0.5,-1,0.6000000000000001,0.33333333333333337,1,6
4506,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,1
4524,0.5,1,0,0.33333333333333337,0,4
4559,1,0.5,0,0.33333333333333337,1,3
4568,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,2
4591,1,-1,0.3999999999999999,0.33333333333333337,-1,3
4662,1,1,-0.19999999999999996,0.33333333333333337,1,6
4677,1,0.5,0.3999999999999999,-0.33333333333333326,0.19999999999999996,2
4679,0.5,0.5,0.3999999999999999,-1,-1,5
4685,1,1,-0.6,0.33333333333333337,1,2
4705,1,1,-0.4,0.33333333333333337,0.6000000000000001,1
4736,0.5,1,-0.4,0.33333333333333337,1,6
4825,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,6
4851,0.5,1,0.19999999999999996,-0.33333333333333326,0.19999999999999996,2
4877,0.5,0.5,0,0.33333333333333337,0.3999999999999999,2
4880,1,1,-0.19999999999999996,0.33333333333333337,1,6
4943,0.5,0.5,0,0.33333333333333337,0,3
4964,1,1,-1,1,0.8,2
4988,1,0.5,-0.6,0.33333333333333337,0,6
5001,0.5,-0.5,0,-0.33333333333333326,-0.8,2
5058,1,0.5,-0.19999999999999996,1,1,6
5069,1,0.5,0,0.33333333333333337,0.19999999999999996,3
5088,1,1,-0.4,0.33333333333333337,-0.19999999999999996,6
5201,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0,6
5207,0.5,-0,0.3999999999999999,0.33333333333333337,0.3999999999999999,1
5225,-0.5,-0,-1,-1,0.3999999999999999,5
5278,0.5,0.5,0.3999999999999999,-0.33333333333333326,0.3999999999999999,2
5293,1,0.5,-0.19999999999999996,0.33333333333333337,0,2
5363,1,0.5,-1,0.33333333333333337,0.19999999999999996,2
5384,1,0.5,0,1,0.3999999999999999,6
5424,-0,1,0,-0.33333333333333326,-0.4,3
5455,1,1,-0.19999999999999996,0.33333333333333337,-1,6
5508,1,-0.5,0.19999999999999996,-0.33333333333333326,1,5
5534,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2
5573,1,1,1,-0.33333333333333326,0.3999999999999999,1
5585,1,0.5,-0.6,1,0.6000000000000001,2
5642,1,0.5,0,0.33333333333333337,-0.4,6
5649,0.5,1,1,-0.33333333333333326,0.3999999999999999,1
5651,1,0.5,0,1,0.6000000000000001,5
5682,0.5,-1,0.19999999999999996,-0.33333333333333326,-0.19999999999999996,2
5692,1,0.5,0,-0.33333333333333326,0.6000000000000001,6
5772,-0,0.5,0,-0.33333333333333326,0.3999999999999999,6
5892,0.5,1,0.6000000000000001,0.33333333333333337,0.6000000000000001,2
5893,0.5,1,0,0.33333333333333337,-0.8,2
5907,0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,5
5913,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,3
5952,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,2
5990,0.5,-0.5,0,1,1,1
6032,0.5,0.5,0,0.33333333333333337,-0.19999999999999996,6
6051,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,1
6070,0.5,0.5,0,-0.33333333333333326,-0.4,1
6224,1,-0.5,0,1,0.19999999999999996,2
6323,0.5,-0,-0.4,0.33333333333333337,0.3999999999999999,3
6339,-0.5,1,0,-0.33333333333333326,-0.4,2
6367,1,-0,-0.19999999999999996,1,0.8,2
6495,1,-0,0,-0.33333333333333326,1,6
6554,1,0.5,-1,0.33333333333333337,0,5
6559,1,1,-0.8,1,1,2
6578,0.5,1,0,0.33333333333333337,0.3999999999999999,2
6603,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0,6
6605,0.5,0.5,0,0.33333333333333337,1,5
6619,0.5,1,0.8,0.33333333333333337,1,5
6637,-0,0.5,0,0.33333333333333337,0.3999999999999999,2
6638,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,1
6654,1,0.5,-0.19999999999999996,-0.33333333333333326,0.3999999999999999,2
6703,0.5,0.5,-0.4,-0.33333333333333326,0,5
6723,1,0.5,-0.19999999999999996,1,1,6
6749,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,1,1
6762,1,-0,-0.4,-0.33333333333333326,0,6
6801,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,2
6821,0.5,0.5,1,-1,-1,2
6823,0.5,-0,0,-0.33333333333333326,0.3999999999999999,2
6844,1,0.5,-0.4,1,0.6000000000000001,2
6916,1,-0,-0.19999999999999996,-0.33333333333333326,0,3
6988,0.5,-0.5,0,-0.33333333333333326,0.3999999999999999,6
7087,1,0.5,-0.6,0.33333333333333337,0.6000000000000001,2
7091,0.5,0.5,0,1,0.8,5
7110,1,1,-1,0.33333333333333337,-1,2
7129,0.5,0.5,-0.4,-0.33333333333333326,0.19999999999999996,3
7155,0.5,-0,0,-0.33333333333333326,-0.4,5
7157,-0,0.5,0,-0.33333333333333326,0.19999999999999996,2
7184,0.5,0.5,0,-0.33333333333333326,0,2
7197,1,-0,-0.19999999999999996,0.33333333333333337,0,5
7238,0.5,0.5,0,-0.33333333333333326,0,2
7239,1,1,-0.4,1,0.19999999999999996,5
7244,0.5,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,6
7288,0.5,0.5,0.3999999999999999,0.33333333333333337,0,6
7297,0.5,1,-0.4,0.33333333333333337,0,2
7330,0.5,0.5,-0.4,-0.33333333333333326,-1,6
7514,1,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,3
7533,1,0.5,-0.4,1,0.19999999999999996,2
7541,0.5,-0.5,0,-0.33333333333333326,0.19999999999999996,3
7554,1,1,0,-0.33333333333333326,-0.4,2
7600,0.5,-0.5,0,-0.33333333333333326,-0.8,2
7609,1,0.5,-0.6,1,0.6000000000000001,2
7613,1,0.5,0,0.33333333333333337,-0.6,2
7641,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,6
7689,0.5,0.5,0,-0.33333333333333326,0.8,6
7707,1,0.5,-0.19999999999999996,1,0.6000000000000001,5
7722,-0,-1,0,-1,-0.19999999999999996,5
7730,1,0.5,-0.6,1,-0.6,5
7741,1,0.5,0,-0.33333333333333326,0.6000000000000001,6
7774,0.5,0.5,0.3999999999999999,-0.33333333333333326,1,1
7782,1,-0,0,-0.33333333333333326,0,5
7783,0.5,-0,-0.4,0.33333333333333337,0.19999999999999996,2
7812,0.5,0.5,0,0.33333333333333337,0.6000000000000001,1
7836,1,0.5,-0.6,1,-0.6,2
7856,1,0.5,-1,1,1,2
7873,1,0.5,0,0.33333333333333337,0.8,4
7904,-0,-0,-0.4,0.33333333333333337,0.19999999999999996,3
7916,0.5,0.5,0,-0.33333333333333326,-0.6,1
8007,0.5,-0.5,0,0.33333333333333337,-0.19999999999999996,2
8077,1,0.5,-0.6,0.33333333333333337,1,4
8084,1,1,0,-0.33333333333333326,0.3999999999999999,2
8088,0.5,-0,0.3999999999999999,-0.33333333333333326,1,1
8142,0.5,0.5,-0.4,0.33333333333333337,0.3999999999999999,2
8174,0.5,0.5,0.6000000000000001,-0.33333333333333326,0.8,2
8190,1,-0.5,0.6000000000000001,0.33333333333333337,0.6000000000000001,1
8225,0.5,1,0,-0.33333333333333326,-0.6,1
8244,1,1,0,-0.33333333333333326,0,1
8246,1,-0,0,-0.33333333333333326,0.3999999999999999,2
8275,1,1,-0.19999999999999996,0.33333333333333337,0.6000000000000001,2
8291,-1,0.5,-1,0.33333333333333337,0.3999999999999999,4
8304,-0,0.5,0,0.33333333333333337,0,6
8320,0.5,0.5,0,0.33333333333333337,-0.6,2
8327,1,1,-0.19999999999999996,0.33333333333333337,0.8,6
8334,1,0.5,0.3999999999999999,1,1,5
8344,1,-0.5,-0.8,1,0.3999999999999999,2
8372,1,-0,-0.19999999999999996,1,1,5
8489,0.5,0.5,0,0.33333333333333337,0.3999999999999999,4
8538,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.6000000000000001,5
8608,0.5,0.5,0.19999999999999996,1,0.6000000000000001,3
8610,-0,0.5,-0.4,-0.33333333333333326,0.6000000000000001,2
8639,1,1,0,-0.33333333333333326,-0.8,6
8665,0.5,-0.5,0,0.33333333333333337,0.6000000000000001,1
8745,0.5,0.5,-0.8,0.33333333333333337,0.3999999999999999,2
8757,0.5,0.5,-0.6,0.33333333333333337,0.3999999999999999,5
8798,1,0.5,0,0.33333333333333337,0.6000000000000001,3
8812,1,0.5,0,0.33333333333333337,0.3999999999999999,6
8849,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,2
8864,1,1,-1,1,0.19999999999999996,1
8867,1,1,-0.19999999999999996,0.33333333333333337,0.6000000000000001,5
8892,1,1,-0.4,0.33333333333333337,1,6
8920,1,1,-0.4,1,1,2
9003,0.5,-1,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,6
9040,1,0.5,-0.4,1,1,2
9048,1,1,0,-0.33333333333333326,0.8,2
9088,0.5,-0.5,0,0.33333333333333337,1,2
9094,1,-0.5,-1,1,0.8,2
9170,1,0.5,-1,1,0.6000000000000001,3
9176,0.5,0.5,0,1,1,2
9216,1,0.5,-0.4,0.33333333333333337,1,6
9220,1,1,0,0.33333333333333337,0,3
9286,1,0.5,-0.4,1,0.8,5
9320,1,-0.5,-0.19999999999999996,1,1,2
9332,0.5,0.5,-0.8,0.33333333333333337,0,3
